Step || Electronic Harmonizing Sequence Requirements || LRU-
1 || Sample 50 frames (25 ms) of Act_Disp_Raw (in) and average them when the following condition is True: (IVT_Command_ISM = 0x0020, IVT_CmdData_ISM: Harmonize_Contract_Stop_STL = True). Note: Act_Disp_Raw is depicted in Figure 4436, H || 6135
2 || Compute Act_Disp_Raw_Avg_Contract while commanded to the Contract position as follows: [the average of Act_Disp_Raw from Step above] * Harmonize_SFC_Default + Harmonize_Offset_Default. Note: The values of Harmonize_SFC_Default and || 9169
3 || Set Act_Disp_Range_Contract_Fault to True if Act_Disp_Raw_Avg_Contract (in) is not within the ranges defined in:  	Table 1014, Rev A for ATYPE-1 & ATYPE-2 Contract Harmonizing Range 	Table 1015, Rev NC for ATYPE-3 Contract Harmo || 9170
4a || Set and transmit IVT Response data on STL_Bus as follows: IVT_Receipt_Envelope = 0x0017,  IVT_Receipt_Content: Contract_Stop_Collection_Complete = True,  Notes:  1) Contract_Stop_Collection_Complete is defined in Table 1007. 2) IV || 9171
4b || If Act_Disp_Range_Contract_Fault is True, set and transmit IVT Response data on STL_Bus as follows:  IVT_Receipt_Envelope = 0x0017,   IVT_Receipt_Content: Harmonizing_Failed = True, else IVT_Receipt_Envelope = 0x0017,   IVT_Receip || 9171
5 || If Act_Disp_Range_Contract_Fault transitions to True, create an entry in the Fault_History_Table_PSR. Note: This is the only entry of this fault in the Fault_History_Table_PSR for the current power-on session. || 9193
Information Only || If the FCC is commanding the Expand stop position, the LRU_2 subsequently transmits the following on STL_Bus: IVT_Active_STL = True Harmonizing_Active_STL = True IVT_Command_ISM = 0x0020, IVT_CmdData_ISM: Harmonize_Expand_Stop_STL || 9173
6 || Sample 50 frames (25 ms) of Act_Disp_Raw (in) and average them when the following condition is True: (IVT_Command_ISM = 0x0020, IVT_CmdData_ISM: Harmonize_Expand_Stop_STL = True). Note: Act_Disp_Raw is depicted in Figure 4436 and  || 9184
7 || Compute Act_Disp_Raw_Avg_Expand while commanded to the Expanded position as follows:    [the average of Act_Disp_Raw from Step above] * Harmonize_SFC_Default + Harmonize_Offset_Default The values of Harmonize_SFC_Default and Harmo || 9174
8 || Set Act_Disp_Range_Expand_Fault to True if Act_Disp_Raw_Avg_Expand (in) is not within the following ranges:  	Table 1016, Rev A for ATYPE-1 & ATYPE-2 Expand Harmonizing Range 	Table 1017, Rev NC for ATYPE-3 Expand Harmonizing Ra || 9177
9a || Set and transmit IVT Response data on STL_Bus as follows: IVT_Receipt_Envelope = 0x0017,  IVT_Receipt_Content: Expand_Stop_Collection_Complete = True  Notes:  1) Expand_Stop_Collection_Complete is defined in Table 1007. 2) IVT_Rec || 9895
9b || If Act_Disp_Range_Expand_Fault is True, set and transmit IVT Response data on STL_Bus as follows: IVT_Receipt_Envelope = 0x0017,   IVT_Receipt_Content: Harmonizing_Failed = True, else IVT_Receipt_Envelope = 0x0017,   IVT_Receipt_C || 9895
10 || If Act_Disp_Range_Expand_Fault transitions to True, create an entry in the Fault_History_Table_PSR. Note: This is the only entry of this fault in the Fault_History_Table_PSR for the current power-on session. || 9238
Information Only || If the FCC is commanding the VOID position, the LRU_2 EBHA channel subsequently transmits on STL_Bus the asserted state of IVT Active and Harmonizing Active, and commands the Collection of Harmonizing data while in the VOID positi || 9208
11 || Sample 50 frames (25 ms) of Act_Disp_Raw (in) and average them when the following condition is True: IVT_Command_ISM = 0x0020, IVT_CmdData_ISM: Harmonize_VOID_STL = True. Note: Act_Disp_Raw is depicted Figure 4436 and Harmonize_VO || 9205
12 || Compute  Act_Disp_Raw_Avg_VOID while commanded to the VOID position as follows: [the average of Act_Disp_Raw from Step above] * Harmonize_SFC_Default + Harmonize_Offset_Default.The values of Harmonize_SFC_Default and Harmonize_Off || 9222
13 || Set Act_Disp_Range_VOID_Fault to True if Act_Disp_Raw_Avg_VOID (in) is not within the following range: 	Table 1018, Rev A ATYPE-1 & ATYPE-2 VOID Harmonizing Range 	Table 1019, Rev NC ATYPE-3 VOID Harmonizing Range Else set Act_D || 9209
14a || Set and transmit IVT Response data on STL_Bus as follows: IVT_Receipt_Envelope = 0x0017,  IVT_Receipt_Content: VOID_Collection_Complete = True,  Notes:  1) VOID_Collection_Complete is defined in Table 1007. 2) IVT_Receipt_Content  || 9210
14b || If Act_Disp_Range_VOID_Fault is True, set and transmit IVT Response data on STL_Bus as follows: IVT_Receipt_Envelope = 0x0017,   IVT_Receipt_Content: Harmonizing_Failed = True, else IVT_Receipt_Envelope = 0x0017,   IVT_Receipt_Con || 9210
15 || If Act_Disp_Range_VOID_Fault transitions to True, create an entry in the Fault_History_Table_PSR. Notes: 1) Not applicable to LRU_3 and LRU_4. 2) This is the only entry of this fault in the Fault_History_Table_PSR for the current  || 9235
Information Only || The LRU_2 asserts both Harmonizing Active and IVT Active, and transmits its own Average Expand and Contract LVDT Position on the STL Bus using IVT_Command_ISM and IVT_CmdData_ISM as follows: 	IVT_Active_STL = True 	Harmonizing_A || 9221
16 || Set Primary_Harmonize_Calc to True when the following condition is True: Act_Disp_Range_VOID_Fault = False  AND Act_Disp_Range_Contract_Fault = False AND Act_Disp_Range_Expand_Fault = False AND Contract_Stop_Collection_Complete =  || 9891
17 || For LRU_3 and LRU_4, set Spoiler_Harmonize_Calc to True if the following condition is True: Act_Disp_Range_Contract_Fault = False AND Act_Disp_Range_Expand_Fault = False AND Contract_Stop_Collection_Complete = True AND Expand_Stop || 9892
18 || If Spoiler_Harmonize_Calc is True then compute  K_Harmonize_New  = Max_Stroke / [Act_Disp_Raw_Avg_Expand  -  Act_Disp_Raw_Avg_Contract]. where Max_Stroke is defined in:  	Table 1020, Rev A: ATYPE-1 & ATYPE-2 LRU Harmonizing Max S || 9176
19 || If Spoiler_Harmonize_Calc is True, then calculate the new LVDT Harmonizing Offset as follows:  Harmonize_Offset_New  =  (Harmonize_Offset_Default - Act_Disp_Raw_Avg_Contract)  * K_Harmonize_New.  The value of Harmonize_Offset_Defa || 6137
20 || Calculate the new LVDT Harmonizing Gain when Primary_Harmonize_Calc is True AND Profile_Id is any of the following: 	LRU_1, 	LRU_2, 	LRU_5,  	LRU_6. K_Harmonize_New  = (LRU_2_Act_Disp_Raw_Avg_Expand - LRU_2_Act_Disp_Raw_Avg_Co || 9212
21 || Calculate the new LVDT Harmonizing Gain when Primary_Harmonize_Calc is True AND Profile_Id = LRU_7 as follows: K_Harmonize_New  =  Max_Stroke / [Act_Disp_Raw_Avg_Expand (in) – Act_Disp_Raw_Avg_Contract (in)]. where Max_Stroke is d || 9944
22 || Calculate the new LVDT Harmonizing Offset as follows when Primary_Harmonize_Calc is True: Harmonize_Offset_New  = (Harmonize_Offset_Default - Act_Disp_Raw_Avg_VOID)  * K_Harmonize_New. The value of Harmonize_Offset_Default is defi || 9213
23 || If LRU-1/2/5/6, calculate Lower_Limit_LRU_PSR_New when Primary_Harmonize_Calc by the following equation: Lower_Limit_LRU_PSR_New =  Act_Disp_Raw_Avg_Contract + Contract_Error. The value of Contract_Error is defined in : 	Table 10 || 10915
24 || If LRU-3/4, calculate Upper_Limit_LRU_PSR_New and Lower_Limit_LRU_PSR_New to the fixed values as follows: 	 Upper_Limit_LRU_PSR_New = Upper_Limit_Harmonized 	 Lower_Limit_LRU_PSR_New = Lower_Limit_Harmonized    The value of Uppe || 10916
25 || If LRU-7, calculate Lower_Limit_LRU_PSR_New using the following equation: 	 Lower_Limit_LRU_PSR_New = Lower_Limit_Harmonized  The value of Lower_Limit_Harmonized is defined as a function of Profile_Id in: 	Table 1020, Rev A: ATY || 10917
26 || If LRU-1/2/5/6, calculate Upper_Limit_LRU_PSR_New using the following equation: 	 Upper_Limit_LRU_PSR_New =  Act_Disp_Raw_Avg_Expand – Expand_Error.  The value of Expand_Error is defined as a function of Profile_Id in: :  	Table || 10918
27 || If LRU-7, calculate Upper_Limit_LRU_PSR_New using the following equation: 	 Upper_Limit_LRU_PSR_New = Upper_Limit_Harmonized The value of Upper_Limit_Harmonized is defined as a function of Profile_Id in:  	Table 1020, Rev A: ATY || 10921
28 || Store new LRU Harmonizing parameters in PSR as follows:  	Harmonize_SFC_PSR = K_Harmonize_New 	Harmonize_Offset_PSR = Harmonize_Offset_New 	Asset_ID_PSR = Asset_ID_STL 	Config_LRU_PSR = Profile_ID_Disc_Dbnce_Init 	Lower_Limit || 9215
29 || The LRU reads back the data stored in PSR and re-computes the CRC of the PSR Harmonizing parameters. || 9225
30 || Perform a CRC check of the following Harmonizing parameters set in PSR to verify it is not corrupted: 	Harmonize_Offset_PSR 	Harmonize_SFC_PSR 	Asset_ID_PSR 	Config_LRU_PSR 	Lower_Limit_LRU_PSR 	Upper_Limit_LRU_PSR. || 9814
31 || If CRC check as defined in Step above fails, the LRU software sets Harmonizing_PSR_Data_Fault to True, else set  Harmonizing_PSR_Data_Fault to False. || 9224
32 || If Harmonizing_PSR_Data_Fault transitions to True, then perform the following: 	create a Harmonizing_PSR_Data_Fault entry in the Fault_History_Table_PSR  	report Harmonizing Failed to the LRU_2 on STL_Bus:  IVT_Receipt_Envelope= || 9249
33 || Set the following to False if Harmonizing_PSR_Data_Fault is False. 	 LRU_Harmonizing_Needed_PIVT 	 Corrupt_PSR_Harmonizing_CIP_Fault_Init. || 9894
34 || If Harmonizing_PSR_Data_Fault is False then perform all of the following assignments: 	K_Harmonize_ISM = Harmonize_SFC_PSR  	Harmonize_Offset_ISM = Harmonize_Offset_PSR 	Lower_Limit_LRU = Lower_Limit_LRU_PSR 	Upper_Limit_LRU = || 9247
Information Only || The LRU_2 EBHA channel commands the LRU to transmit its new Harmonizing parameters including LVDT Harmonizing Gain and LVDT Harmonizing Offset for future Auto-Harmonizing using IVT_Command_ISM and IVT_CmdData_ISM. || 9823
35 || If the LRU receives the Harmonizing_and_Configuration_Parameters_Request command below on STL_Bus while Harmonizing_PSR_Data_Fault is False AND Step 34 completed : IVT_Command_ISM = 0x0012 AND IVT_CmdData_ISM = 0x0001, then reply  || 9239
